place_id,best_type,subtype
ChIJd7C6LJbJBZER0URIRWAiJcY,Jiu Jitsu,Boxing
ChIJd7C6LJbJBZER0URIRWAiJcY,Jiu Jitsu,MMA
ChIJCb45ex3JBZERc1ODq5sRUPU,Jiu Jitsu,Boxing
ChIJCb45ex3JBZERc1ODq5sRUPU,Jiu Jitsu,MMA
ChIJ-V1U4WiZBZEREqlFW69BUjs,Jiu Jitsu,NA
ChIJb0J5dqHJBZERe8GSzXECUtQ,Judo,NA
ChIJBzhPuPrPBZERLz7z0Txc60c,Jiu Jitsu,NA
ChIJARxB5svRBZERNPsy3ne2Cns,Wrestling,NA
ChIJ2_uPUwDJBZERQmMjPUSEARI,Jiu Jitsu,NA
ChIJtdJazrDh8YsRSc-mT_xbFvs,Jiu Jitsu,NA
ChIJ04_GLCTHBZEROwgIg2JXg7g,Jiu Jitsu,NA
ChIJWYDztR25BZERa12oVlSlFC8,MMA,Jiu Jitsu
ChIJWYDztR25BZERa12oVlSlFC8,MMA,Aikido
ChIJWYDztR25BZERa12oVlSlFC8,MMA,Muay Thai
ChIJ1YklegDPBZER1Ibv-FUqkaM,Judo,NA
ChIJe3XTfQbJBZERP7gk6MKAVFQ,Jiu Jitsu,NA
ChIJwy6ggZC3BZER3XbcHvxB8tM,Jiu Jitsu,Jiu Jitsu
ChIJwy6ggZC3BZER3XbcHvxB8tM,Jiu Jitsu,Kickboxing
ChIJwy6ggZC3BZER3XbcHvxB8tM,Jiu Jitsu,Kempo
ChIJwy6ggZC3BZER3XbcHvxB8tM,Jiu Jitsu,Krav Maga
ChIJPWxX5gDRBZER1LeoJ419ACM,MMA,Boxing
ChIJPWxX5gDRBZER1LeoJ419ACM,MMA,Kickboxing
ChIJrQBS6LjDBZERZTLseobjQDo,Mma,NA
ChIJlYGuR9nIBZERDTNNPHOPDrE,MMA,NA
ChIJFRt8un67BZERRhMFNLShgtI,Jiu Jitsu,NA
ChIJZSSeoRTFBZERpUdBnFFB6hI,Mma,NA
ChIJxQAKcK_JBZERIL5Ve7JNsAw,MMA,Muay Thai
ChIJxQAKcK_JBZERIL5Ve7JNsAw,MMA,Jiu Jitsu
ChIJj-vVKgrPBZERqLodth-aueI,Jiu Jitsu,NA
ChIJtd_NNADpBZERnKKzBELjDA0,Jiu Jitsu,NA
ChIJ2badz7rJBZERxHaIC4ApV2Q,Jiu Jitsu,NA
ChIJgTAHm9HHBZERqH8Sfg4j4WQ,Jiu Jitsu,Muay Thai
