place_id,photo,street_view,logo,has_photo,has_street_view,has_logo,media_completeness_score,logo_status
ChIJiUD0uIzJBZERMtyqr78xuGk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqzU7rOE6g35uAigJrYJ2471tKzSGZTuTDh7LpBsgVJDhjL-tKvjlzztw07a-XQ06rMjvoG0QTddL-I4CYNM6E3oNCoDN_LAfW8kSBECLNOGxDePwNoLqvKfRj3Ho0CvQPFhWmp=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqzU7rOE6g35uAigJrYJ2471tKzSGZTuTDh7LpBsgVJDhjL-tKvjlzztw07a-XQ06rMjvoG0QTddL-I4CYNM6E3oNCoDN_LAfW8kSBECLNOGxDePwNoLqvKfRj3Ho0CvQPFhWmp=w1600-h1000-k-no,https://lh5.googleusercontent.com/-S7CMmqK-ECc/AAAAAAAAAAI/AAAAAAAAAAA/GgqVbAbiSOo/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ92Sw1zfJBZERjzp-2jBBPCc,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqW6N_8OIN7vvWxMoPnsuFJ8NypEj-ZCcouJQCe7rkPZH7YOQQSyI2aiUpCw-9DbVA-v8wEpNgWm746SMcl1M32q1MOHnzgds-l1MLUWv0UTGnyRV3DinNiW46LNZRXrT9R5bY=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqW6N_8OIN7vvWxMoPnsuFJ8NypEj-ZCcouJQCe7rkPZH7YOQQSyI2aiUpCw-9DbVA-v8wEpNgWm746SMcl1M32q1MOHnzgds-l1MLUWv0UTGnyRV3DinNiW46LNZRXrT9R5bY=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJ2RQ12Su5BZER7k-Ju-QN95g,https://lh3.googleusercontent.com/p/AF1QipNc46jWwmZdoCF4j2u39-yLxtyT2yBPg0ARUcfc=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNc46jWwmZdoCF4j2u39-yLxtyT2yBPg0ARUcfc=w1600-h1000-k-no,https://lh5.googleusercontent.com/-LmiIhb7t6fU/AAAAAAAAAAI/AAAAAAAAAAA/t5dbcoB2UFw/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJl0MWi2DPBZERgFcEjhaUsr4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np8i-U05P0eTVZcDQQO-boRH9npHJRvFtfIhBRL8XHBnZTLX5DLOwWiyvg_KEU_XGL9kE7UY7vz-wGZ8-cWIynUOte74f8UL1KkYBATRScY5LEHoH9IhyMP6JhIDWf-kP_TGtwA=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np8i-U05P0eTVZcDQQO-boRH9npHJRvFtfIhBRL8XHBnZTLX5DLOwWiyvg_KEU_XGL9kE7UY7vz-wGZ8-cWIynUOte74f8UL1KkYBATRScY5LEHoH9IhyMP6JhIDWf-kP_TGtwA=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJ8_BFx5PPBZERWwYNTecWaQ0,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJTftM_zrIBZERka67kYT47XQ,https://lh3.googleusercontent.com/p/AF1QipP8dIuocgHfjP9tb0QC-KT99wcLLShKApfbMYNv=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipP8dIuocgHfjP9tb0QC-KT99wcLLShKApfbMYNv=w1600-h1000-k-no,https://lh5.googleusercontent.com/-NKPubJT7nKA/AAAAAAAAAAI/AAAAAAAAAAA/_6ytktkuj2E/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJYVOUbjvIBZERdBp3eI6wbZk,https://lh3.googleusercontent.com/p/AF1QipPoZtvowxhn8ah0W__0NIIcOS9I6jcli700RuJ2=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPoZtvowxhn8ah0W__0NIIcOS9I6jcli700RuJ2=w1600-h1000-k-no,https://lh4.googleusercontent.com/-Bm5n-I5-lcc/AAAAAAAAAAI/AAAAAAAAAAA/QTCNnibk6AY/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJsZ2tIsLHBZER37S3_pK3UIs,https://lh3.googleusercontent.com/p/AF1QipOD_sUnmLD5tVYm_f8zHdNNCzNbGxhnhmXBMMV9=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOD_sUnmLD5tVYm_f8zHdNNCzNbGxhnhmXBMMV9=w1600-h1000-k-no,https://lh3.googleusercontent.com/-SCslFcZww-g/AAAAAAAAAAI/AAAAAAAAAAA/lPDbdhhZBJQ/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJR7eS71vOBZERIgPBA0j4K7E,NA,NA,https://lh6.googleusercontent.com/-ZW6Nvygtl-g/AAAAAAAAAAI/AAAAAAAAAAA/5QW6z8V4vzU/s44-p-k-no-ns-nd/photo.jpg,FALSE,FALSE,TRUE,1,has_logo
ChIJOWUMw77PBZERy8POn-61MWk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr66vjDblRAKfpwoJRvBvoKr3DGPGqpsumR4hlDwSP9OT_PohNB1oIUGxJse_gh8t53HzxVdeLut97Kx7pLt662DQmg-Hrynp5VVjvXJ6U-qkjGgs_cY0X-H_lqEY-tH53nO6tx=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr66vjDblRAKfpwoJRvBvoKr3DGPGqpsumR4hlDwSP9OT_PohNB1oIUGxJse_gh8t53HzxVdeLut97Kx7pLt662DQmg-Hrynp5VVjvXJ6U-qkjGgs_cY0X-H_lqEY-tH53nO6tx=w1600-h1000-k-no,https://lh5.googleusercontent.com/-QApGTjygIE4/AAAAAAAAAAI/AAAAAAAAAAA/UDg2bSC5efo/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
