place_id,tag_type,tag_description,tag_value,source
ChIJabJUHWzHBZERBIaiGFzAyBc,Planning,Appointment required,TRUE,parsed
ChIJabJUHWzHBZERBIaiGFzAyBc,Other,Identifies as women-owned,TRUE,parsed
ChIJp8E3VQ3PBZERnloYE0DqDw4,Amenities,Toilet,TRUE,parsed
ChIJG05Mh_DHBZERetDpq21KTFw,Service options,Online classes,TRUE,parsed
ChIJG05Mh_DHBZERetDpq21KTFw,Service options,On-site services,TRUE,parsed
ChIJG05Mh_DHBZERetDpq21KTFw,Accessibility,Wheelchair-accessible car park,TRUE,parsed
ChIJG05Mh_DHBZERetDpq21KTFw,Accessibility,Wheelchair-accessible seating,TRUE,parsed
ChIJG05Mh_DHBZERetDpq21KTFw,Accessibility,Wheelchair-accessible toilet,TRUE,parsed
ChIJNeMy2jDJBZERawYM4lCPlLc,Amenities,Toilet,TRUE,parsed
ChIJv_9GrX3JBZERpdIfG8ujNTI,Parking,Free of charge street parking,TRUE,parsed
ChIJZxWvr-HIBZERPwGb5wPFqag,Accessibility,Wheelchair-accessible car park,TRUE,parsed
ChIJZxWvr-HIBZERPwGb5wPFqag,Accessibility,Wheelchair-accessible entrance,TRUE,parsed
ChIJZxWvr-HIBZERPwGb5wPFqag,Amenities,Toilet,TRUE,parsed
ChIJ3cBfgAbJBZERjo1i2MqHYMk,Amenities,Toilet,TRUE,parsed
ChIJl-OE-4bIBZERA407nV0og0Y,Service options,On-site services,TRUE,parsed
ChIJl-OE-4bIBZERA407nV0og0Y,Service options,Online classes,FALSE,parsed
ChIJl-OE-4bIBZERA407nV0og0Y,Accessibility,Wheelchair-accessible entrance,TRUE,parsed
ChIJG1UHBFrJBZERLbEeqYaaKuY,Amenities,Toilet,TRUE,parsed
ChIJG1UHBFrJBZERLbEeqYaaKuY,Children,Discounts for kids,TRUE,parsed
ChIJG1UHBFrJBZERLbEeqYaaKuY,Children,Family discount,TRUE,parsed
ChIJn7sYPwDJBZER8XVYDRxEe8E,Amenities,Toilet,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Service options,On-site services,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Service options,Online classes,FALSE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Accessibility,Wheelchair-accessible entrance,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Accessibility,Wheelchair-accessible seating,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Accessibility,Assistive hearing loop,FALSE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Accessibility,Wheelchair-accessible toilet,FALSE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Amenities,Toilet,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Crowd,LGBTQ+ friendly,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Crowd,Transgender safe space,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Payments,Credit cards,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Payments,Debit cards,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Payments,NFC mobile payments,TRUE,parsed
ChIJERtB_gzJBZERgcXx1-xaPVE,Other,LGBTQ+ friendly,TRUE,parsed
ChIJ93hXYyfHBZERcjGFyxcuVdE,Amenities,Toilet,TRUE,parsed
ChIJ4Y4PDdzHBZERJXAhgGULTzE,Amenities,Toilet,TRUE,parsed
ChIJvRitl9XJBZERpWI5jNsJq0k,Amenities,Toilet,TRUE,parsed
ChIJ50sMOerHBZERn8tKf7_hoAY,Amenities,Toilet,TRUE,parsed
ChIJK54LUY6ZBZERR-WxLMqnM2I,Amenities,Toilet,TRUE,parsed
ChIJTST-HcnJBZERrNhTM-u_rJA,Crowd,LGBTQ+ friendly,TRUE,parsed
ChIJTST-HcnJBZERrNhTM-u_rJA,Other,LGBTQ+ friendly,TRUE,parsed
ChIJX_TLpF_JBZER0h0_mprkNC0,Amenities,Toilet,TRUE,parsed
ChIJj4ZR05TLBZERZz0HklRYUlQ,Service options,Online classes,TRUE,parsed
ChIJj4ZR05TLBZERZz0HklRYUlQ,Service options,On-site services,TRUE,parsed
ChIJj4ZR05TLBZERZz0HklRYUlQ,Amenities,Toilet,TRUE,parsed
ChIJj4ZR05TLBZERZz0HklRYUlQ,Payments,Debit cards,TRUE,parsed
ChIJj4ZR05TLBZERZz0HklRYUlQ,Payments,NFC mobile payments,TRUE,parsed
ChIJj4ZR05TLBZERZz0HklRYUlQ,Payments,Credit cards,TRUE,parsed
ChIJZ920gvzIBZERgQR9-HhPq6w,Amenities,Toilet,TRUE,parsed
ChIJdZHuDynJBZERmT2FI6h0ib4,Amenities,Toilet,TRUE,parsed
ChIJCb45ex3JBZERc1ODq5sRUPU,Amenities,Toilet,TRUE,parsed
ChIJ-V1U4WiZBZEREqlFW69BUjs,Amenities,Toilet,TRUE,parsed
ChIJb0J5dqHJBZERe8GSzXECUtQ,Crowd,LGBTQ+ friendly,TRUE,parsed
ChIJb0J5dqHJBZERe8GSzXECUtQ,Crowd,Transgender safe space,TRUE,parsed
ChIJb0J5dqHJBZERe8GSzXECUtQ,Other,LGBTQ+ friendly,TRUE,parsed
ChIJBzhPuPrPBZERLz7z0Txc60c,Amenities,Toilet,TRUE,parsed
ChIJARxB5svRBZERNPsy3ne2Cns,Amenities,Toilet,TRUE,parsed
ChIJ04_GLCTHBZEROwgIg2JXg7g,Amenities,Toilet,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Service options,Online classes,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Service options,Outdoor services,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Service options,On-site services,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Accessibility,Wheelchair-accessible entrance,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Accessibility,Wheelchair-accessible seating,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Accessibility,Assistive hearing loop,FALSE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Accessibility,Wheelchair-accessible car park,FALSE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Accessibility,Wheelchair-accessible toilet,FALSE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Amenities,Child care,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Amenities,Toilet,FALSE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Crowd,LGBTQ+ friendly,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Crowd,Transgender safe space,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Planning,Appointment required,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Payments,Debit cards,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Children,Discounts for kids,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Children,Family discount,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Parking,Free multi-storey car park,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Parking,Free of charge street parking,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Parking,Free parking lot,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Parking,On-site parking,TRUE,parsed
ChIJWYDztR25BZERa12oVlSlFC8,Other,LGBTQ+ friendly,TRUE,parsed
ChIJe3XTfQbJBZERP7gk6MKAVFQ,Offerings,Sauna,TRUE,parsed
ChIJe3XTfQbJBZERP7gk6MKAVFQ,Crowd,LGBTQ+ friendly,TRUE,parsed
ChIJe3XTfQbJBZERP7gk6MKAVFQ,Crowd,Transgender safe space,TRUE,parsed
ChIJe3XTfQbJBZERP7gk6MKAVFQ,Payments,Credit cards,TRUE,parsed
ChIJe3XTfQbJBZERP7gk6MKAVFQ,Payments,Debit cards,TRUE,parsed
