place_id,Friday_open,Monday_open,Saturday_open,Sunday_open,Thursday_open,Tuesday_open,Wednesday_open,Friday_close,Monday_close,Saturday_close,Sunday_close,Thursday_close,Tuesday_close,Wednesday_close,Friday_closed,Monday_closed,Saturday_closed,Sunday_closed,Thursday_closed,Tuesday_closed,Wednesday_closed,Friday_pattern_flag,Monday_pattern_flag,Saturday_pattern_flag,Sunday_pattern_flag,Thursday_pattern_flag,Tuesday_pattern_flag,Wednesday_pattern_flag
ChIJrQBS6LjDBZERZTLseobjQDo,07:00,07:00,NA,07:00,NA,NA,07:00,20:30,20:30,NA,12:00,NA,NA,20:30,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,standard,standard,closed,standard,closed,closed,standard
ChIJsZ2tIsLHBZER37S3_pK3UIs,07:00,07:00,09:00,NA,07:00,07:00,07:00,22:30,22:30,13:00,NA,22:30,22:30,22:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJtdJazrDh8YsRSc-mT_xbFvs,00:00,00:00,06:30,10:00,00:00,00:00,00:00,23:59,23:59,12:00,00:00,23:59,23:59,23:59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24hrs,24hrs,standard,standard,24hrs,24hrs,24hrs
ChIJtd_NNADpBZERnKKzBELjDA0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJtwb4dADJBZER1-b2zKidZzU,10:00,10:00,NA,NA,11:00,11:00,10:00,21:00,21:00,NA,NA,21:00,21:00,21:00,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJuSGxkgrRBZER1xdiRMDhh04,07:00,07:00,07:00,NA,07:00,07:00,07:00,23:00,23:00,18:00,NA,23:00,23:00,23:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJubZD0HvFBZERQWkbdUOlvgQ,09:00,09:00,09:00,08:00,09:00,09:00,09:00,20:30,20:30,20:30,13:00,20:30,20:30,20:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,standard,standard,standard,standard,standard,standard,standard
ChIJvRitl9XJBZERpWI5jNsJq0k,NA,07:00,11:30,NA,07:00,07:00,NA,NA,20:30,13:00,NA,20:30,20:30,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,closed,standard,standard,closed,standard,standard,closed
ChIJvXw3qH7JBZERLNp_Vfw8XJo,06:00,06:00,NA,NA,07:00,07:00,06:00,21:30,21:30,NA,NA,21:30,21:30,21:30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJvYHKt3-jBZEROnva_mUx-X0,08:00,08:00,08:00,08:00,08:00,08:00,08:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,standard,standard,standard,standard,standard,standard,standard
ChIJv_9GrX3JBZERpdIfG8ujNTI,07:00,07:00,NA,NA,07:00,07:00,07:00,22:00,22:30,NA,NA,22:30,22:30,22:30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJvacSRQDVBZERBxHZNVWjEjw,07:00,07:00,09:00,09:00,07:00,07:00,07:00,22:30,22:30,22:30,14:30,22:30,22:30,22:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,standard,standard,standard,standard,standard,standard,standard
ChIJvwqpvkHHBZERdO0CswW9ZsU,03:30,03:30,NA,NA,03:30,03:30,03:30,20:00,20:00,NA,NA,20:00,20:00,20:00,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJvxVDJhq5BZERQHmnynp95sg,07:30,07:00,NA,NA,07:00,07:00,07:00,22:00,22:00,NA,NA,22:00,22:00,22:00,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJw5H8H1S4BZER1YkZvEUhdsg,09:00,09:00,10:00,NA,09:00,09:00,09:00,20:30,20:30,19:00,NA,20:30,20:30,20:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJwTj8Xu7FBZERi0agsCck9RU,09:00,09:00,09:00,NA,09:00,09:00,09:00,22:00,22:00,22:00,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJwy6ggZC3BZER3XbcHvxB8tM,NA,06:00,06:00,NA,06:00,06:00,06:00,NA,22:00,22:00,NA,22:00,22:00,22:00,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,closed,standard,standard,closed,standard,standard,standard
ChIJx2KpUbvJBZERSXuxS6VWegQ,07:00,07:00,NA,NA,07:00,07:00,07:00,21:30,21:30,NA,NA,21:30,21:30,21:30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJxQAKcK_JBZERIL5Ve7JNsAw,06:00,06:00,NA,NA,06:00,06:00,06:00,22:00,22:00,NA,NA,22:00,22:00,22:00,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJz03HLXzBBZERrg1vTS-hH8o,02:00,02:00,NA,NA,NA,NA,02:00,20:00,20:00,NA,NA,NA,NA,20:00,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,standard,standard,closed,closed,closed,closed,standard
ChIJzRmx2l3vBZERIv9LuWJr-UY,10:00,10:00,06:00,NA,10:00,10:00,10:00,00:00,00:00,19:30,NA,22:00,22:00,00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJza2soSGjBZERGi_K1jWpiCw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJzwKq4Mi5BZER0d4ZhuG1mXA,00:00,00:00,00:00,NA,00:00,00:00,00:00,23:59,23:59,23:59,NA,23:59,23:59,23:59,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,24hrs,24hrs,24hrs,closed,24hrs,24hrs,24hrs
