place_id,name,has_kids_classes,has_women_classes,has_open_mat,drop_in_fee,beginner_friendly,family_friendly,accessible_entrance,speaks_english,speaks_portuguese,offers_gi,offers_no_gi
ChIJERtB_gzJBZERgcXx1-xaPVE,Peru Fight Academy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ93hXYyfHBZERcjGFyxcuVdE,Peru Fight Academy San Borja,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ4Y4PDdzHBZERJXAhgGULTzE,Peruvian Judo Federation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJpx8PrxK5BZER6zsdCeVE_ks,Pitbull Martial Arts Center/PMAC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJvRitl9XJBZERpWI5jNsJq0k,Primo Jiu-jitsu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ50sMOerHBZERn8tKf7_hoAY,Pro Figthing Peru,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJK54LUY6ZBZERR-WxLMqnM2I,Punta Hermosa Training Club,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJTST-HcnJBZERrNhTM-u_rJA,Purple OG - Bjj Art,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJX_TLpF_JBZER0h0_mprkNC0,RED LIONS - MMA Academy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJj4ZR05TLBZERZz0HklRYUlQ,RED LIONS - MMA Academy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJZ920gvzIBZERgQR9-HhPq6w,Renzo Gracie Academy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJdZHuDynJBZERmT2FI6h0ib4,Ronin Martial Arts - Jiu jitsu & MMA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJd7C6LJbJBZER0URIRWAiJcY,Samurai Martial Arts,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJCb45ex3JBZERc1ODq5sRUPU,SAMURAI PUEBLO LIBRE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ-V1U4WiZBZEREqlFW69BUjs,San Bartolo JiuJitsu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJb0J5dqHJBZERe8GSzXECUtQ,Shin Gi Tai - Lima Judo Club,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJBzhPuPrPBZERLz7z0Txc60c,Shinyuu - Guigo Jiujitsu Rimac,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJARxB5svRBZERNPsy3ne2Cns,SMA OIS PERÚ EMETH KRAV MAGA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ2_uPUwDJBZERQmMjPUSEARI,Studio 7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJtdJazrDh8YsRSc-mT_xbFvs,Studio 7 Jiu jitsu Club,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ04_GLCTHBZEROwgIg2JXg7g,Sumaq Jiu Jitsu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJWYDztR25BZERa12oVlSlFC8,SWAM Peru Academy of Modern Martial Arts & Science,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ1YklegDPBZER1Ibv-FUqkaM,Tamashi Judo Club Los Olivos,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJe3XTfQbJBZERP7gk6MKAVFQ,Tan Ren Guigo Jiu Jitsu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJwy6ggZC3BZER3XbcHvxB8tM,Taurus Gym Dojo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJPWxX5gDRBZER1LeoJ419ACM,TEAM BERSERKER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJrQBS6LjDBZERZTLseobjQDo,Team Jairolo mma,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
